177,Ashley Armbruster,Lawyer,7875827456,ashley.armbruster@mail.com,1993-11-08,146,58,398,59,,,
111,Nigel Uno,General,7879635874,nigel.uno@mail.com,1991-01-01,444,555,333,456,856,279,
146,Ashley Quinlan,Lawyer,7877535412,ashley.quinlan@mail.com,1993-01-02,177,58,398,59,,,
315,Norvile Rogers,Detective,7875967410,norvile.rogers@mail.com,1968-09-14,138,745,444,456,856,,
505,Steven Demayo,Guitarist,7877778989,steven.demayo@mail.com,2002-11-07,279,141,,,,,
528,Willow Park,Florist,7874562589,willow.park@mail.com,2001-11-07,976,745,279,141,,,
555,Abigal Lincoln,Lieutenant,7874587536,abigal.lincoln@mail.com,1991-05-05,111,444,333,279,456,856,
138,Scoobert Doo,Detective,7879512369,scoobert.doo@mail.com,1972-11-07,315,333,141,,,,
976,Luz Noceda,Witch,7874562587,luz.noceda@mail.com,2001-10-13,528,745,279,,,,
58,Ashley Boulet,Lawyer,7875574886,ashley.boulet@mail.com,1994-02-14,177,146,398,59,,,
202,Carmen Sandiego,Museum Curator,7874563256,carmen.sandiego@mail.com,1975-11-08,,,,,,,
444,Wallabee Beetles,Cadet,9396335995,wallabee.beetles@mail.com,1995-11-07,111,555,333,315,141,,
279,Connie Maheswaran,Astronaut,7874569586,connie.maheswaran@mail.com,2003-11-07,505,976,555,528,333,141,111
398,Ashley Tomassian,Lawyer,9396658758,ashley.tomassian@mail.com,1993-01-01,177,146,58,59,,,
745,Gus Porter,Embassador,7879899988,gus.porter@mail.com,2004-04-09,528,976,315,,,,
59,Ashley Spinelli,Wrestler,7878598552,ashley.spinelli@mail.com,1991-08-29,177,146,58,398,,,
333,Kuki Sanban,Cadet,9395667877,kuki.sanban@mail.com,1991-04-04,111,555,444,138,279,,
456,Arnold Shortman,Landlord,7878956555,arnold.shortman@mail.com,1987-07-03,111,555,315,,,,
856,Helga Pataki,Salesperson,7874482255,helga.pataki@mail.com,1990-02-17,111,555,315,,,,
141,Jhonny Bravo,Salesperson,7878500110,jhonny.bravo@mail.com,1980-11-07,505,528,138,444,279,,
10,Ben Tennyson,Security,78775153595,ben.tennyson10@mail.com,2000-10-10,10000,,,,,,
10000,Ben Tennyson,Security,78775153596,ben.tennyson10000@mail.com,2000-10-10,10,,,,,,
